"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao"
"95617859";"01";"GESTÃO PÚBLICA - CAICÓ - I - TECNOLÓGICO";"92017023";"GESTÃO PÚBLICA";"5";"5";"6";"";"";"";"114";"1710";"0";"0";"240";"1710";"114";"0";"6";"24";"26";"240";"";"0";"1";"2013";""
"129841126";"MFC2018";"";"93262777";"PROGRAMA DE RESIDÊNCIA MÉDICA EM MEDICINA DA FAMÍLIA E COMUNIDADE";"";"";"";"";"";"";"0";"5640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"131750215";"RPDHUAB";"";"93262776";"PROGRAMA DE RESIDÊNCIA MÉDICA EM PEDIATRIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"577";"0";"5183";"";"";"";"0";"";"";"1";"2018";""
"129796929";"2017";"";"114941932";"MESTRADO PROFISSIONAL EM ENSINO DE FÍSICA EM REDE NACIONAL";"12";"";"24";"12";"";"24";"32";"480";"120";"";"0";"360";"24";"0";"";"";"";"0";"";"";"1";"2017";""
"157663892";"ECO2022";"";"157663602";"RESIDÊNCIA MÉDICA EM ECOCARDIOGRAFIA";"";"";"";"";"";"";"0";"5700";"0";"";"";"560";"0";"5140";"";"";"";"0";"";"";"1";"2022";""
"154869225";"02";"QUÍMICA - NATAL - MTN - LICENCIATURA";"2000144";"QUÍMICA";"8";"8";"12";"";"";"";"196";"3200";"320";"170";"60";"2310";"196";"400";"";"";"";"";"";"530";"2";"2021";""
"91477917";"MP01";"";"91477182";"MESTRADO PROFISSIONAL EM ARQUITETURA, PROJETO E MEIO AMBIENTE";"18";"24";"24";"18";"24";"24";"7";"360";"105";"";"0";"255";"0";"0";"1";"8";"12";"0";"";"";"2";"2010";""
"126121649";"2018";"";"5036031";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA";"";"";"";"";"";"";"0";"5520";"0";"";"0";"480";"0";"5040";"";"";"";"0";"";"";"1";"2018";""
"130365421";"2018";"";"5036023";"RESIDÊNCIA EM CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS";"";"";"";"";"";"";"0";"8610";"0";"";"0";"780";"0";"7830";"";"";"";"0";"";"";"1";"2018";""
"151543388";"MEST21";"";"315737";"MESTRADO EM PSICOLOGIA";"12";"";"24";"12";"";"24";"4";"270";"60";"";"0";"150";"0";"60";"";"";"";"";"";"";"1";"2021";""
"134976532";"GTRHUOL";"";"134975375";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA";"";"";"";"";"";"";"0";"6160";"0";"";"0";"576";"0";"5584";"";"";"";"0";"";"";"1";"2019";""
"178926894";"03";"ENGENHARIA MECÂNICA - NATAL - N - FORMAÇÃO";"2000031";"ENGENHARIA MECÂNICA";"12";"12";"18";"";"";"";"474";"4000";"438";"210";"240";"3162";"474";"190";"";"";"";"";"";"300";"1";"2025";""
"136521167";"CARHUOL";"";"5036026";"RESIDÊNCIA MÉDICA EM CARDIOLOGIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"420";"0";"5340";"";"";"";"0";"";"";"1";"2019";""
"131558756";"GO-MEJC";"";"5036038";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"1212";"0";"7592";"";"";"";"0";"";"";"1";"2018";""
"131051103";"URO2018";"";"5036037";"RESIDÊNCIA MÉDICA EM UROLOGIA";"";"";"";"";"";"";"0";"8400";"0";"";"0";"354";"0";"8046";"";"";"";"0";"";"";"1";"2018";""
"119342519";"ETIM001";"";"119342264";"MESTRADO PROFISSIONAL EM EDUCAÇÃO, TRABALHO E INOVAÇÃO EM MEDICINA";"12";"24";"24";"12";"24";"24";"21";"315";"90";"";"0";"225";"15";"0";"";"";"";"0";"";"";"2";"2016";""
"150613606";"RAD2021";"";"5036036";"RESIDÊNCIA MÉDICA EM RADIOLOGIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2021";""
"146023411";"NNT2020";"";"5036041";"RESIDÊNCIA MÉDICA EM NEONATOLOGIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2020";""
"171836029";"03";"ENGENHARIA DE COMPUTAÇÃO - NATAL - MT - FORMAÇÃO";"2000026";"ENGENHARIA DE COMPUTAÇÃO";"5";"10";"14";"";"";"";"175";"3679";"480";"185";"120";"2574";"175";"440";"";"";"";"";"";"480";"1";"2024";""
"179759943";"MEST08";"";"315749";"MESTRADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"12";"";"24";"12";"";"24";"24";"360";"360";"";"";"0";"0";"0";"";"";"";"";"";"";"1";"2025";""
"170380234";"GP2023";"";"84798578";"MESTRADO PROFISSIONAL EM GESTÃO PÚBLICA";"12";"";"24";"12";"";"24";"8";"510";"120";"";"";"390";"0";"0";"";"";"";"";"";"";"2";"2023";""
"149656396";"01";"ADMINISTRAÇÃO PÚBLICA - NATAL - N - BACHARELADO";"149654895";"ADMINISTRAÇÃO PÚBLICA";"8";"8";"12";"";"";"";"8";"3000";"780";"180";"60";"1980";"8";"60";"";"";"";"";"";"0";"1";"2021";""
"118270825";"D001";"";"117229950";"DOUTORADO EM SERVIÇO SOCIAL";"42";"48";"48";"42";"48";"48";"14";"540";"210";"";"0";"330";"0";"0";"";"";"";"0";"";"";"1";"2016";""
"151253471";"DOUT21";"";"9285380";"DOUTORADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR";"24";"";"48";"24";"";"48";"17";"450";"255";"";"0";"195";"0";"0";"";"";"";"";"";"";"1";"2021";""
"172289522";"03";"ENGENHARIA DE PRODUÇÃO - NATAL - N - FORMAÇÃO";"2000029";"ENGENHARIA DE PRODUÇÃO";"12";"12";"18";"";"";"";"794";"3860";"420";"200";"195";"2940";"794";"300";"";"";"";"";"";"";"2";"2024";""
"130015387";"02";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA - NATAL - N - BACHARELADO";"118834827";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA";"8";"8";"12";"";"";"";"136";"2700";"300";"270";"240";"2130";"136";"0";"";"";"";"60";"";"0";"2";"2018";""
"167991787";"GTP2023";"";"167991689";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA PEDIÁTRICA";"";"";"";"";"";"";"0";"5496";"0";"";"";"0";"0";"0";"";"";"";"0";"";"";"1";"2023";""
"134976957";"GEDHUOL";"";"88337493";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA - ENDOSCOPIA DIGESTIVA";"";"";"";"";"";"";"0";"2880";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"155173853";"02";"HISTÓRIA - NATAL - MTN - LICENCIATURA";"50913238";"HISTÓRIA";"8";"8";"12";"";"";"";"158";"3210";"330";"200";"200";"2280";"158";"400";"";"";"";"";"";"0";"2";"2019";""
"178736047";"01";"BACHARELADO EM INTELIGÊNCIA ARTIFICIAL - NATAL - MT - BACHARELADO";"178733979";"BACHARELADO EM INTELIGÊNCIA ARTIFICIAL";"8";"8";"12";"";"";"";"0";"3200";"530";"180";"240";"2190";"0";"300";"";"";"";"";"";"480";"1";"2025";""
"174084259";"ITE24DO";"";"172269300";"DOUTORADO PROFISSIONAL EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS";"24";"";"48";"24";"";"48";"12";"450";"180";"";"";"270";"0";"0";"";"";"";"";"";"";"2";"2024";""
"127472015";"04";"LETRAS - INGLÊS - NATAL - M - LICENCIATURA";"118840295";"LETRAS - INGLÊS";"8";"8";"12";"";"";"";"127";"3200";"360";"200";"120";"1980";"127";"660";"";"";"";"60";"";"480";"1";"2018";""
"172794964";"D24EDF";"";"170670143";"DOUTORADO EM EDUCAÇÃO FISICA";"24";"";"48";"24";"";"48";"16";"555";"240";"";"";"315";"0";"0";"";"";"";"";"";"";"1";"2024";""
"120481177";"02";"BIOMEDICINA - NATAL - N - BACHARELADO";"2000122";"BIOMEDICINA";"11";"11";"15";"";"";"";"158";"4030";"405";"210";"240";"2370";"158";"1045";"";"";"";"15";"";"0";"1";"2017";""
"158429413";"03";"LETRAS - PORTUGUÊS E INGLÊS - CURRAIS NOVOS - TN - LICENCIATURA";"133175344";"LETRAS - PORTUGUÊS E INGLÊS";"9";"9";"14";"";"";"";"12";"3480";"360";"200";"240";"2460";"12";"460";"";"";"";"";"";"";"1";"2022";""
"177385023";"TI2024";"";"100181629";"MESTRADO PROFISSIONAL EM TECNOLOGIA DA INFORMAÇÃO";"12";"";"24";"12";"";"24";"18";"330";"270";"";"";"60";"0";"0";"";"";"";"";"";"";"1";"2024";""
"161784622";"02A";"FONOAUDIOLOGIA - NATAL - MT - FORMAÇÃO";"7410980";"FONOAUDIOLOGIA";"8";"8";"12";"";"";"";"175";"3600";"360";"180";"240";"2100";"175";"960";"";"";"";"";"";"";"2";"2022";""
"120480419";"02";"BIOMEDICINA - NATAL - MT - BACHARELADO";"2000122";"BIOMEDICINA";"9";"9";"13";"";"";"";"158";"4030";"405";"210";"240";"2370";"158";"1045";"";"";"";"15";"";"0";"1";"2017";""
"20849290";"01";"";"2060661";"RESIDÊNCIA MÉDICA EM UROLOGIA";"18";"24";"30";"";"";"";"0";"317";"0";"";"240";"0";"0";"317";"0";"0";"0";"200";"";"";"1";"2007";""
"130300830";"DOUT17";"";"108847150";"DOUTORADO EM ENSINO DE CIÊNCIAS E MATEMÁTICA";"24";"";"36";"24";"";"36";"28";"420";"90";"";"0";"330";"22";"0";"";"";"";"0";"";"";"2";"2017";""
"127573809";"RCM2017";"";"116724073";"RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA/RESCLMED/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2017";""
"126820854";"1A";"";"117522695";"RESIDENCIA EM ANESTESIOLOGIA/RESANES/HUAB";"";"";"";"";"";"";"0";"8600";"0";"";"0";"827";"0";"7773";"";"";"";"0";"";"";"1";"2017";""
"98659548";"BEF2013";"";"98469607";"MESTRADO EM BIOLOGIA ESTRUTURAL E FUNCIONAL";"12";"24";"24";"12";"24";"24";"10";"360";"150";"";"0";"210";"0";"0";"1";"12";"20";"0";"";"";"1";"2013";""
"161809958";"02";"DESIGN - NATAL - MT - BACHARELADO";"6992521";"DESIGN";"8";"8";"12";"";"";"";"520";"2575";"330";"130";"60";"1995";"520";"120";"";"";"";"";"";"390";"2";"2022";""
"136916099";"RMI2019";"";"116724074";"RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM";"";"";"";"";"";"";"0";"5578";"0";"";"0";"390";"0";"4773";"";"";"";"0";"";"";"1";"2019";""
"178583044";"PPGENAP";"";"178237854";"MESTRADO EM METODOLOGIAS DE ENSINO E PROCESSSOS DE APRENDIZAGEM";"12";"";"24";"12";"";"24";"6";"360";"90";"";"";"270";"0";"0";"";"";"";"";"";"";"1";"2025";""
"139971";"01";"";"315727";"MESTRADO EM FÍSICA";"12";"24";"24";"12";"24";"24";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"99";"15";"0";"";"1";"2000";""
"135321074";"Dout18";"";"84739891";"DOUTORADO EM SAÚDE COLETIVA";"24";"";"48";"24";"";"48";"28";"420";"420";"";"0";"0";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"509855090";"001";"";"50839645";"MESTRADO EM SISTEMÁTICA E EVOLUÇÃO";"12";"24";"24";"12";"24";"24";"6";"360";"90";"";"0";"270";"0";"0";"1";"16";"20";"0";"";"";"1";"2011";""
"172291410";"03";"ENGENHARIA BIOMÉDICA - NATAL - N - FORMAÇÃO";"85341136";"ENGENHARIA BIOMÉDICA";"11";"11";"16";"";"";"";"413";"3685";"370";"185";"240";"2880";"413";"250";"";"";"";"";"";"";"1";"2024";""
"131692633";"PGA18M";"";"315764";"MESTRADO EM ADMINISTRAÇÃO";"12";"";"24";"12";"";"24";"20";"360";"150";"";"0";"210";"10";"0";"";"";"";"0";"";"";"1";"2018";""
"140686491";"RMN2020";"";"140686470";"RESIDÊNCIA MÉDICA EM NEFROLOGIA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"372";"0";"5346";"";"";"";"0";"";"";"1";"2020";""
"176003281";"EP2024";"";"175720345";"MESTRADO EM ENERGIA E PETRÓLEO";"12";"";"24";"12";"";"24";"16";"360";"240";"";"";"120";"0";"0";"";"";"";"";"";"";"1";"2024";""
"151544157";"DOUT21";"";"17275730";"DOUTORADO EM PSICOLOGIA";"24";"";"48";"24";"";"48";"6";"360";"90";"";"0";"150";"0";"120";"";"";"";"";"";"";"1";"2021";""
"172288672";"03";"ENGENHARIA DE PRODUÇÃO - NATAL - T - FORMAÇÃO";"2000029";"ENGENHARIA DE PRODUÇÃO";"10";"10";"15";"";"";"";"794";"3860";"420";"200";"195";"2940";"794";"300";"";"";"";"";"";"";"2";"2024";""
"151253665";"MEST21";"";"315769";"MESTRADO EM BIOQUÍMICA E BIOLOGIA MOLECULAR";"12";"";"24";"12";"";"24";"9";"300";"135";"";"0";"165";"0";"0";"";"";"";"";"";"";"1";"2021";""
"161820833";"02";"HISTÓRIA - CAICÓ - N - LICENCIATURA";"111635060";"HISTÓRIA";"8";"8";"12";"";"";"";"71";"3200";"320";"185";"120";"2025";"71";"670";"";"";"";"";"";"420";"2";"2022";""
"165814143";"02";"MEDICINA - CAICÓ - MTN - FORMAÇÃO";"104831949";"MEDICINA";"12";"12";"18";"";"";"";"0";"7560";"760";"380";"120";"2380";"0";"4040";"8";"32";"40";"1";"";"0";"2";"2023";""
"167828348";"PDT2023";"";"5036034";"RESIDÊNCIA MÉDICA EM PEDIATRIA";"";"";"";"";"";"";"0";"8717";"0";"";"";"151";"0";"8566";"";"";"";"0";"";"";"1";"2023";""
"178623947";"03";"ENGENHARIA DE TELECOMUNICAÇÕES - NATAL - N - FORMAÇÃO";"85322080";"ENGENHARIA DE TELECOMUNICAÇÕES";"11";"11";"16";"";"";"";"201";"3704";"390";"186";"186";"2928";"201";"200";"";"";"";"";"";"400";"1";"2025";""
"179759602";"DOUT10";"";"315750";"DOUTORADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"24";"";"48";"24";"";"48";"36";"540";"540";"";"";"0";"0";"0";"";"";"";"";"";"";"1";"2025";""
"134575061";"OTGHUOL";"";"5036046";"RESIDÊNCIA MÉDICA EM OTORRINOLARINGOLOGIA";"";"";"";"";"";"";"0";"8675";"0";"";"0";"354";"0";"8286";"";"";"";"0";"";"";"1";"2019";""
"134977008";"GHPHUOL";"";"88337494";"RESIDÊNCIA MÉDICA EM GASTROENTEROLOGIA - HEPATOLOGIA";"";"";"";"";"";"";"0";"2880";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"135411668";"GTES19";"";"133255820";"MESTRADO PROFISSIONAL EM GESTÃO, TRABALHO, EDUCAÇÃO E SAÚDE";"12";"";"24";"12";"";"24";"24";"360";"180";"";"0";"180";"12";"0";"";"";"";"0";"";"";"1";"2019";""
"176322978";"2024IFT";"";"5036039";"RESIDÊNCIA MÉDICA EM INFECTOLOGIA";"";"";"";"";"";"";"0";"8640";"0";"";"";"0";"0";"0";"";"";"";"0";"";"";"1";"2024";""
"175970147";"BEF2024";"";"172254760";"DOUTORADO EM BIOLOGIA ESTUTURAL E FUNCIONAL";"24";"";"48";"24";"";"48";"10";"405";"150";"";"";"255";"0";"0";"";"";"";"";"";"";"2";"2024";""
"140938136";"TUR-M";"";"507421";"MESTRADO EM TURISMO";"12";"";"24";"12";"";"24";"24";"360";"180";"";"0";"180";"12";"0";"";"";"";"0";"";"";"1";"2020";""
"139977";"01";"";"315730";"MESTRADO EM GEOCIÊNCIAS";"12";"24";"36";"";"";"";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"24";"";"0";"";"1";"1996";""
"139956";"01";"";"315768";"MESTRADO EM BIOECOLOGIA AQUÁTICA";"12";"24";"30";"";"";"";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"99";"";"0";"";"0";"0";""
"124767317";"PQT2017";"";"5036035";"RESIDÊNCIA MÉDICA EM PSIQUIATRIA";"";"";"";"";"";"";"0";"8662";"0";"";"0";"1050";"0";"7612";"";"";"";"0";"";"";"1";"2017";""
"126769396";"GOB2018";"";"110378615";"RESIDÊNCIA MÉDICA EM GINECOLOGIA E OBSTETRÍCIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"867";"0";"7773";"";"";"";"0";"";"";"1";"2017";""
"170601695";"01";"RELAÇÕES INTERNACIONAIS - NATAL - T - BACHARELADO";"170595750";"RELAÇÕES INTERNACIONAIS";"8";"8";"12";"";"";"";"29";"2700";"330";"150";"150";"1980";"29";"240";"";"";"";"";"";"360";"1";"2024";""
"140852569";"TI2020";"";"100181629";"MESTRADO PROFISSIONAL EM TECNOLOGIA DA INFORMAÇÃO";"12";"";"24";"12";"";"24";"24";"360";"330";"";"0";"30";"2";"0";"";"";"";"0";"";"";"1";"2020";""
"140690828";"RCM2020";"";"140690440";"PROGRAMA DE RESIDÊNCIA MÉDICA EM CLÍNICA MÉDICA";"";"";"";"";"";"";"0";"5760";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2020";""
"166362013";"MPI2023";"";"108846991";"MESTRADO PROFISSIONAL EM CIÊNCIA, TECNOLOGIA E INOVAÇÃO";"12";"";"24";"12";"";"24";"24";"510";"270";"";"";"90";"6";"150";"";"";"";"";"";"";"1";"2023";""
"135321203";"MESTR18";"";"84739860";"MESTRADO EM SAÚDE COLETIVA";"12";"";"24";"12";"";"24";"18";"270";"270";"";"0";"0";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"173014931";"D24ECON";"";"170068950";"DOUTORADO EM ECONOMIA";"24";"";"48";"24";"";"48";"16";"600";"240";"";"";"360";"0";"0";"";"";"";"";"";"";"1";"2024";""
"108814104";"05";"MATEMÁTICA - NATAL - MT - BACHARELADO";"2000054";"MATEMÁTICA";"8";"8";"12";"";"";"";"146";"2580";"260";"130";"600";"2190";"146";"0";"2";"22";"34";"60";"";"0";"1";"2015";""
"140031";"02";"";"315755";"MESTRADO EM ENGENHARIA SANITÁRIA E AMBIENTAL";"12";"24";"24";"12";"24";"24";"24";"360";"180";"";"240";"180";"12";"0";"1";"21";"30";"1";"0";"";"1";"2005";""
"140061";"PE";"";"315785";"MESTRADO EM MATEMÁTICA APLICADA E ESTATÍSTICA";"12";"24";"24";"12";"24";"24";"10";"150";"120";"";"240";"30";"2";"0";"2";"12";"16";"1";"0";"";"2";"2006";""
"150741013";"01";"ENGENHARIA DE PRODUÇÃO - CURRAIS NOVOS - MT - BACHARELADO";"150738818";"ENGENHARIA DE PRODUÇÃO";"10";"10";"15";"";"";"";"0";"3600";"360";"180";"240";"2820";"0";"240";"";"";"";"";"";"420";"1";"2021";""
"99508764";"05";"";"315779";"MESTRADO EM DIREITO";"12";"24";"24";"12";"24";"24";"30";"450";"270";"";"0";"180";"12";"0";"1";"16";"30";"0";"";"";"2";"2013";""
"166544067";"NUT23";"";"103197769";"MESTRADO EM NUTRIÇÃO";"12";"";"24";"12";"";"24";"26";"390";"165";"";"";"225";"15";"0";"";"";"";"";"";"";"1";"2023";""
"175447083";"01";"EDUCAÇÃO ESPECIAL INCLUSIVA - NATAL - I - LICENCIATURA";"175224989";"EDUCAÇÃO ESPECIAL INCLUSIVA";"4";"4";"6";"";"";"";"55";"1200";"120";"60";"60";"720";"55";"300";"";"";"";"";"";"320";"2";"2024";""
"179572828";"DOUT25";"";"178355478";"DOUTORADO EM BIOLOGIA PARASITÁRIA";"24";"";"48";"24";"";"48";"29";"435";"285";"";"";"150";"10";"0";"";"";"";"";"";"";"1";"2025";""
"131694357";"PGA18D";"";"315765";"DOUTORADO EM ADMINISTRAÇÃO";"24";"";"48";"24";"";"48";"32";"540";"150";"";"0";"390";"22";"0";"";"";"";"0";"";"";"1";"2018";""
"166715365";"MFC2023";"";"116724071";"RESIDÊNCIA MÉDICA EM MEDICINA DE FAMÍLIA E COMUNIDADE/RESMMFC/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"";"930";"0";"4830";"";"";"";"0";"";"";"1";"2023";""
"140944352";"TUR-D";"";"104910434";"DOUTORADO EM TURISMO";"24";"";"48";"24";"";"48";"36";"540";"330";"";"0";"210";"14";"0";"";"";"";"0";"";"";"1";"2020";""
"132111265";"mpart2";"";"106146377";"MESTRADO PROFISSIONAL EM ARTES - PROFARTES";"12";"";"24";"12";"";"24";"8";"420";"120";"";"0";"300";"0";"0";"";"";"";"0";"";"";"2";"2018";""
"135317069";"AB2019";"";"116724075";"RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM";"";"";"";"";"";"";"0";"5760";"0";"";"0";"915";"0";"4845";"";"";"";"0";"";"";"1";"2019";""
"101092038";"EGM1";"";"101050293";"MESTRADO EM ENGENHARIA MECATRÔNICA";"12";"24";"24";"12";"24";"24";"24";"360";"180";"";"0";"180";"12";"0";"2";"12";"24";"0";"";"";"2";"2013";""
"133579275";"REUHUOL";"";"118776383";"PROGRAMA DE RESIDÊNCIA MÉDICA EM REUMATOLOGIA/RESREUM/HUOL";"";"";"";"";"";"";"0";"5760";"0";"";"0";"288";"0";"2292";"";"";"";"0";"";"";"1";"2018";""
"140046";"4 ";"";"315776";"MESTRADO EM CIÊNCIAS SOCIAIS";"12";"24";"24";"12";"24";"24";"12";"180";"180";"";"240";"0";"0";"0";"1";"1";"99";"0";"0";"";"1";"2004";""
"139208926";"04";"GEOGRAFIA - NATAL - MTN - LICENCIATURA";"2671321";"GEOGRAFIA";"8";"8";"12";"";"";"";"134";"3260";"360";"200";"600";"1980";"134";"720";"";"";"";"60";"";"540";"1";"2020";""
"150172153";"02";"LETRAS - LÍNGUA PORTUGUESA - CURRAIS NOVOS - TN - LICENCIATURA";"118922626";"LETRAS - LÍNGUA PORTUGUESA";"8";"8";"12";"";"";"";"0";"2910";"105";"200";"600";"2205";"0";"400";"1";"98";"99";"15";"";"0";"1";"2021";""
"170064550";"D23";"";"84739891";"DOUTORADO EM SAÚDE COLETIVA";"24";"";"48";"24";"";"48";"19";"444";"288";"";"";"156";"0";"0";"";"";"";"";"";"";"2";"2024";""
"86369001";"MSS1";"";"315741";"MESTRADO EM SERVIÇO SOCIAL";"12";"24";"24";"12";"24";"24";"8";"300";"120";"";"0";"180";"0";"0";"3";"12";"24";"1";"";"";"2";"2011";""
"166042621";"mest23";"";"315744";"MESTRADO EM ECONOMIA";"12";"";"24";"12";"";"24";"26";"390";"120";"";"";"270";"18";"0";"";"";"";"";"";"";"1";"2023";""
"121782311";"mest17";"";"315745";"MESTRADO EM EDUCAÇÃO";"12";"24";"24";"12";"24";"24";"14";"270";"90";"";"0";"120";"8";"60";"";"";"";"0";"";"";"1";"2017";""
"161820458";"04";"HISTÓRIA - CAICÓ - MT - LICENCIATURA";"111635060";"HISTÓRIA";"8";"8";"12";"";"";"";"71";"3200";"320";"185";"120";"2025";"71";"670";"";"";"";"";"";"540";"2";"2022";""
"139778396";"05";"NUTRIÇÃO - NATAL - MT - FORMAÇÃO";"2000058";"NUTRIÇÃO";"10";"10";"15";"";"";"";"97";"4000";"400";"200";"200";"2520";"97";"880";"";"";"";"30";"";"600";"1";"2020";""
"137734884";"dCO/BI";"";"130260440";"DOUTORADO EM CIÊNCIAS ODONTOLÓGICAS";"24";"";"48";"24";"";"48";"36";"540";"300";"";"0";"240";"16";"0";"";"";"";"0";"";"";"2";"2018";""
"131694511";"EG-MEJC";"";"5036033";"RESIDÊNCIA MÉDICA EM ENDOSCOPIA GINECOLÓGICA";"";"";"";"";"";"";"0";"2880";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"51438889";"EDF01";"";"50980468";"MESTRADO EM EDUCAÇÃO FÍSICA";"12";"24";"24";"12";"24";"24";"24";"360";"150";"";"0";"210";"14";"0";"4";"12";"20";"1";"";"";"1";"2011";""
"179258198";"03";"SAÚDE COLETIVA - NATAL - N - BACHARELADO";"7252420";"SAÚDE COLETIVA";"9";"9";"13";"";"";"";"84";"3200";"420";"200";"180";"1875";"84";"705";"";"";"";"";"";"420";"1";"2025";""
"139948";"01";"";"315778";"MESTRADO EM CLÍNICAS ODONTOLÓGICAS";"12";"24";"30";"";"";"";"0";"0";"0";"";"240";"0";"0";"0";"1";"12";"99";"";"0";"";"0";"0";""
"133692425";"OFTHUOL";"";"5036045";"RESIDÊNCIA MÉDICA EM OFTALMOLOGIA";"";"";"";"";"";"";"0";"8640";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";""
"150495538";"02";"MATEMÁTICA - NATAL - MTN - LICENCIATURA";"2000134";"MATEMÁTICA";"8";"8";"12";"";"";"";"181";"3200";"320";"170";"600";"2310";"181";"400";"";"";"";"";"";"590";"1";"2021";""
"84869976";"01A";"GESTÃO PÚBLICA - NATAL - MTN - TECNOLÓGICO";"2000160";"GESTÃO PÚBLICA";"5";"5";"7";"";"";"";"0";"1800";"30";"";"240";"1680";"0";"90";"1";"99";"99";"15";"";"";"1";"2011";""
"113772442";"PHIST01";"";"113759737";"MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA - PROFHISTORIA";"12";"24";"24";"12";"24";"24";"11";"420";"165";"";"0";"210";"0";"45";"1";"16";"24";"1";"";"";"2";"2015";""
"139173380";"01";"MÚSICA - NATAL - MT - BACHARELADO";"2000057";"MÚSICA";"8";"8";"12";"";"";"";"68";"3070";"1470";"160";"600";"1020";"68";"420";"";"";"";"30";"";"0";"1";"2018";""
"171491161";"MES2023";"";"88211810";"MESTRADO PROFISSIONAL EM SAÚDE DA FAMÍLIA";"12";"";"24";"12";"";"24";"33";"495";"0";"";"";"495";"33";"0";"";"";"";"";"";"";"2";"2023";""
